Region,Year,B_predicted
Aarau,2019,0.632280
Aarau,2020,0.646708
Aarau,2021,0.655554
Aarau,2022,0.660899
Aarau,2023,0.664100
Aarau,2024,0.666007
Aarau,2025,0.667140
Aarau,2026,0.667811
Aarau,2027,0.668209
Aarau,2028,0.668444
Aarau,2029,0.668583
Aarau,2030,0.668665
Aarau,2031,0.668714
Aarau,2032,0.668743
Aarau,2033,0.668760
Aarau,2034,0.668770
Aarau,2035,0.668776
Aarau,2036,0.668779
Aarau,2037,0.668781
Aarau,2038,0.668783
Aarau,2039,0.668783
Aarau,2040,0.668784
Aarau,2041,0.668784
Aarau,2042,0.668784
Aarau,2043,0.668784
Aarau,2044,0.668784
Aarau,2045,0.668784
Aarau,2046,0.668784
Aarau,2047,0.668784
Aarau,2048,0.668784
Aarau,2049,0.668784
Aarau,2050,0.668784
Affoltern,2019,0.367793
Affoltern,2020,0.412976
Affoltern,2021,0.446840
Affoltern,2022,0.470640
Affoltern,2023,0.486622
Affoltern,2024,0.497028
Affoltern,2025,0.503667
Affoltern,2026,0.507849
Affoltern,2027,0.510461
Affoltern,2028,0.512085
Affoltern,2029,0.513091
Affoltern,2030,0.513713
Affoltern,2031,0.514097
Affoltern,2032,0.514334
Affoltern,2033,0.514480
Affoltern,2034,0.514571
Affoltern,2035,0.514626
Affoltern,2036,0.514660
Affoltern,2037,0.514682
Affoltern,2038,0.514695
Affoltern,2039,0.514703
Affoltern,2040,0.514708
Affoltern,2041,0.514711
Affoltern,2042,0.514713
Affoltern,2043,0.514714
Affoltern,2044,0.514714
Affoltern,2045,0.514715
Affoltern,2046,0.514715
Affoltern,2047,0.514715
Affoltern,2048,0.514715
Affoltern,2049,0.514715
Affoltern,2050,0.514715
Aigle,2019,0.245177
Aigle,2020,0.259710
Aigle,2021,0.270942
Aigle,2022,0.279393
Aigle,2023,0.285623
Aigle,2024,0.290146
Aigle,2025,0.293396
Aigle,2026,0.295711
Aigle,2027,0.297352
Aigle,2028,0.298510
Aigle,2029,0.299325
Aigle,2030,0.299898
Aigle,2031,0.300299
Aigle,2032,0.300581
Aigle,2033,0.300778
Aigle,2034,0.300916
Aigle,2035,0.301012
Aigle,2036,0.301080
Aigle,2037,0.301127
Aigle,2038,0.301160
Aigle,2039,0.301183
Aigle,2040,0.301199
Aigle,2041,0.301210
Aigle,2042,0.301218
Aigle,2043,0.301224
Aigle,2044,0.301228
Aigle,2045,0.301230
Aigle,2046,0.301232
Aigle,2047,0.301234
Aigle,2048,0.301235
Aigle,2049,0.301235
Aigle,2050,0.301236
Albula,2019,0.597659
Albula,2020,0.605576
Albula,2021,0.611632
Albula,2022,0.616238
Albula,2023,0.619726
Albula,2024,0.622358
Albula,2025,0.624341
Albula,2026,0.625830
Albula,2027,0.626949
Albula,2028,0.627787
Albula,2029,0.628415
Albula,2030,0.628885
Albula,2031,0.629237
Albula,2032,0.629500
Albula,2033,0.629697
Albula,2034,0.629844
Albula,2035,0.629954
Albula,2036,0.630036
Albula,2037,0.630098
Albula,2038,0.630144
Albula,2039,0.630178
Albula,2040,0.630204
Albula,2041,0.630223
Albula,2042,0.630238
Albula,2043,0.630248
Albula,2044,0.630256
Albula,2045,0.630262
Albula,2046,0.630267
Albula,2047,0.630270
Albula,2048,0.630273
Albula,2049,0.630274
Albula,2050,0.630276
Andelfingen,2019,0.645986
Andelfingen,2020,0.658348
Andelfingen,2021,0.666261
Andelfingen,2022,0.671269
Andelfingen,2023,0.674415
Andelfingen,2024,0.676383
Andelfingen,2025,0.677610
Andelfingen,2026,0.678373
Andelfingen,2027,0.678848
Andelfingen,2028,0.679143
Andelfingen,2029,0.679326
Andelfingen,2030,0.679440
Andelfingen,2031,0.679510
Andelfingen,2032,0.679554
Andelfingen,2033,0.679581
Andelfingen,2034,0.679598
Andelfingen,2035,0.679609
Andelfingen,2036,0.679615
Andelfingen,2037,0.679619
Andelfingen,2038,0.679622
Andelfingen,2039,0.679623
Andelfingen,2040,0.679624
Andelfingen,2041,0.679625
Andelfingen,2042,0.679625
Andelfingen,2043,0.679626
Andelfingen,2044,0.679626
Andelfingen,2045,0.679626
Andelfingen,2046,0.679626
Andelfingen,2047,0.679626
Andelfingen,2048,0.679626
Andelfingen,2049,0.679626
Andelfingen,2050,0.679626
Arbon,2019,0.560562
Arbon,2020,0.578639
Arbon,2021,0.590217
Arbon,2022,0.597488
Arbon,2023,0.601999
