Region,Year,B_predicted
Aarau,2019,0.632159
Aarau,2020,0.646485
Aarau,2021,0.655283
Aarau,2022,0.660627
Aarau,2023,0.663855
Aarau,2024,0.665802
Aarau,2025,0.666977
Aarau,2026,0.667686
Aarau,2027,0.668115
Aarau,2028,0.668376
Aarau,2029,0.668534
Aarau,2030,0.668630
Aarau,2031,0.668689
Aarau,2032,0.668726
Aarau,2033,0.668748
Aarau,2034,0.668762
Aarau,2035,0.668770
Aarau,2036,0.668776
Aarau,2037,0.668779
Aarau,2038,0.668781
Aarau,2039,0.668782
Aarau,2040,0.668783
Aarau,2041,0.668783
Aarau,2042,0.668784
Aarau,2043,0.668784
Aarau,2044,0.668784
Aarau,2045,0.668784
Aarau,2046,0.668784
Aarau,2047,0.668784
Aarau,2048,0.668784
Aarau,2049,0.668784
Aarau,2050,0.668784
Affoltern,2019,0.367498
Affoltern,2020,0.412290
Affoltern,2021,0.445850
Affoltern,2022,0.469511
Affoltern,2023,0.485504
Affoltern,2024,0.496018
Affoltern,2025,0.502810
Affoltern,2026,0.507154
Affoltern,2027,0.509917
Affoltern,2028,0.511669
Affoltern,2029,0.512779
Affoltern,2030,0.513482
Affoltern,2031,0.513929
Affoltern,2032,0.514213
Affoltern,2033,0.514394
Affoltern,2034,0.514509
Affoltern,2035,0.514583
Affoltern,2036,0.514630
Affoltern,2037,0.514660
Affoltern,2038,0.514680
Affoltern,2039,0.514692
Affoltern,2040,0.514700
Affoltern,2041,0.514706
Affoltern,2042,0.514709
Affoltern,2043,0.514711
Affoltern,2044,0.514713
Affoltern,2045,0.514714
Affoltern,2046,0.514714
Affoltern,2047,0.514715
Affoltern,2048,0.514715
Affoltern,2049,0.514715
Affoltern,2050,0.514715
Aigle,2019,0.245131
Aigle,2020,0.259602
Aigle,2021,0.270779
Aigle,2022,0.279191
Aigle,2023,0.285401
Aigle,2024,0.289923
Aigle,2025,0.293183
Aigle,2026,0.295517
Aigle,2027,0.297180
Aigle,2028,0.298362
Aigle,2029,0.299200
Aigle,2030,0.299794
