Region,Year,B_predicted
Aarau,2019,0.632401
Aarau,2020,0.646934
Aarau,2021,0.655828
Aarau,2022,0.661172
Aarau,2023,0.664344
Aarau,2024,0.666209
Aarau,2025,0.667298
Aarau,2026,0.667931
Aarau,2027,0.668296
Aarau,2028,0.668506
Aarau,2029,0.668627
Aarau,2030,0.668695
Aarau,2031,0.668734
Aarau,2032,0.668756
Aarau,2033,0.668769
Aarau,2034,0.668776
Aarau,2035,0.668780
Aarau,2036,0.668782
Aarau,2037,0.668783
Aarau,2038,0.668784
Aarau,2039,0.668784
Aarau,2040,0.668784
Aarau,2041,0.668784
Aarau,2042,0.668784
Aarau,2043,0.668784
Aarau,2044,0.668784
Aarau,2045,0.668784
Aarau,2046,0.668784
Aarau,2047,0.668784
Aarau,2048,0.668784
Aarau,2049,0.668784
Aarau,2050,0.668784
Affoltern,2019,0.368089
Affoltern,2020,0.413671
Affoltern,2021,0.447844
Affoltern,2022,0.471786
Affoltern,2023,0.487753
Affoltern,2024,0.498042
Affoltern,2025,0.504519
Affoltern,2026,0.508531
Affoltern,2027,0.510988
Affoltern,2028,0.512480
Affoltern,2029,0.513381
Affoltern,2030,0.513922
Affoltern,2031,0.514246
Affoltern,2032,0.514438
Affoltern,2033,0.514553
Affoltern,2034,0.514620
Affoltern,2035,0.514660
Affoltern,2036,0.514683
Affoltern,2037,0.514697
Affoltern,2038,0.514705
Affoltern,2039,0.514709
Affoltern,2040,0.514712
Affoltern,2041,0.514714
Affoltern,2042,0.514714
Affoltern,2043,0.514715
Affoltern,2044,0.514715
Affoltern,2045,0.514715
Affoltern,2046,0.514715
Affoltern,2047,0.514715
Affoltern,2048,0.514716
Affoltern,2049,0.514716
Affoltern,2050,0.514716
Aigle,2019,0.245223
Aigle,2020,0.259819
Aigle,2021,0.271108
Aigle,2022,0.279599
Aigle,2023,0.285849
Aigle,2024,0.290375
Aigle,2025,0.293614
Aigle,2026,0.295911
Aigle,2027,0.297528
Aigle,2028,0.298662
Aigle,2029,0.299453
Aigle,2030,0.300003
Aigle,2031,0.300385
Aigle,2032,0.300650
Aigle,2033,0.300833
Aigle,2034,0.300959
Aigle,2035,0.301046
Aigle,2036,0.301106
Aigle,2037,0.301147
Aigle,2038,0.301176
Aigle,2039,0.301195
Aigle,2040,0.301208
Aigle,2041,0.301217
Aigle,2042,0.301224
Aigle,2043,0.301228
Aigle,2044,0.301231
Aigle,2045,0.301233
Aigle,2046,0.301234
Aigle,2047,0.301235
Aigle,2048,0.301235
Aigle,2049,0.301236
Aigle,2050,0.301236
Albula,2019,0.597666
Albula,2020,0.605592
Albula,2021,0.611656
Albula,2022,0.616268
Albula,2023,0.619760
Albula,2024,0.622395
Albula,2025,0.624378
Albula,2026,0.625866
Albula,2027,0.626982
Albula,2028,0.627818
Albula,2029,0.628443
Albula,2030,0.628910
Albula,2031,0.629258
Albula,2032,0.629519
Albula,2033,0.629713
Albula,2034,0.629858
Albula,2035,0.629966
Albula,2036,0.630046
Albula,2037,0.630106
Albula,2038,0.630151
Albula,2039,0.630184
Albula,2040,0.630208
Albula,2041,0.630227
Albula,2042,0.630240
Albula,2043,0.630251
Albula,2044,0.630258
Albula,2045,0.630264
Albula,2046,0.630268
Albula,2047,0.630271
Albula,2048,0.630273
Albula,2049,0.630275
Albula,2050,0.630276
Andelfingen,2019,0.646073
Andelfingen,2020,0.658516
Andelfingen,2021,0.666476
Andelfingen,2022,0.671495
Andelfingen,2023,0.674627
Andelfingen,2024,0.676567
Andelfingen,2025,0.677762
Andelfingen,2026,0.678494
Andelfingen,2027,0.678941
Andelfingen,2028,0.679213
Andelfingen,2029,0.679378
Andelfingen,2030,0.679477
Andelfingen,2031,0.679537
Andelfingen,2032,0.679573
Andelfingen,2033,0.679595
Andelfingen,2034,0.679607
Andelfingen,2035,0.679615
Andelfingen,2036,0.679620
Andelfingen,2037,0.679622
Andelfingen,2038,0.679624
Andelfingen,2039,0.679625
Andelfingen,2040,0.679625
Andelfingen,2041,0.679626
Andelfingen,2042,0.679626
Andelfingen,2043,0.679626
Andelfingen,2044,0.679626
Andelfingen,2045,0.679626
Andelfingen,2046,0.679626
Andelfingen,2047,0.679626
Andelfingen,2048,0.679626
Andelfingen,2049,0.679626
Andelfingen,2050,0.679626
Arbon,2019,0.560698
Arbon,2020,0.578904
Arbon,2021,0.590553
Arbon,2022,0.597837
Arbon,2023,0.602322
Arbon,2024,0.605052
Arbon,2025,0.606702
Arbon,2026,0.607692
Arbon,2027,0.608283
Arbon,2028,0.608634
Arbon,2029,0.608842
Arbon,2030,0.608965
Arbon,2031,0.609037
Arbon,2032,0.609079
Arbon,2033,0.609104
Arbon,2034,0.609118
Arbon,2035,0.609127
Arbon,2036,0.609131
Arbon,2037,0.609134
Arbon,2038,0.609136
Arbon,2039,0.609137
Arbon,2040,0.609137
Arbon,2041,0.609137
Arbon,2042,0.609138
Arbon,2043,0.609138
Arbon,2044,0.609138
Arbon,2045,0.609138
Arbon,2046,0.609138
Arbon,2047,0.609138
Arbon,2048,0.609138
Arbon,2049,0.609138
Arbon,2050,0.609138
Arlesheim,2019,0.595464
Arlesheim,2020,0.613705
Arlesheim,2021,0.624557
Arlesheim,2022,0.630857
Arlesheim,2023,0.634456
Arlesheim,2024,0.636488
Arlesheim,2025,0.637626
Arlesheim,2026,0.638259
Arlesheim,2027,0.638609
Arlesheim,2028,0.638802
Arlesheim,2029,0.638907
Arlesheim,2030,0.638964
Arlesheim,2031,0.638995
Arlesheim,2032,0.639012
Arlesheim,2033,0.639021
Arlesheim,2034,0.639026
Arlesheim,2035,0.639028
Arlesheim,2036,0.639030
Arlesheim,2037,0.639030
Arlesheim,2038,0.639031
Arlesheim,2039,0.639031
Arlesheim,2040,0.639031
Arlesheim,2041,0.639031
Arlesheim,2042,0.639031
Arlesheim,2043,0.639031
Arlesheim,2044,0.639031
