Region,Year,NO2
Aarau,2019,16.110521932355958
Aarau,2020,15.949416713032399
Aarau,2021,15.789922545902076
Aarau,2022,15.632023320443054
Aarau,2023,15.475703087238623
Aarau,2024,15.320946056366239
Aarau,2025,15.167736595802575
Aarau,2026,15.016059229844549
Aarau,2027,14.865898637546103
Aarau,2028,14.717239651170642
Aarau,2029,14.570067254658936
Aarau,2030,14.424366582112347
Aarau,2031,14.280122916291221
Aarau,2032,14.13732168712831
Aarau,2033,13.995948470257028
Aarau,2034,13.855988985554458
Aarau,2035,13.717429095698911
Aarau,2036,13.580254804741923
Aarau,2037,13.444452256694504
Aarau,2038,13.31000773412756
Aarau,2039,13.176907656786282
Aarau,2040,13.04513858021842
Aarau,2041,12.914687194416235
Aarau,2042,12.785540322472071
Aarau,2043,12.657684919247354
Aarau,2044,12.531108070054877
Aarau,2045,12.405796989354329
Aarau,2046,12.281739019460787
Aarau,2047,12.158921629266176
Aarau,2048,12.037332412973516
Aarau,2049,11.916959088843782
Aarau,2050,11.797789497955343
Affoltern,2019,14.112251862466147
Affoltern,2020,13.971129343841486
Affoltern,2021,13.831418050403071
Affoltern,2022,13.693103869899039
Affoltern,2023,13.55617283120005
Affoltern,2024,13.42061110288805
Affoltern,2025,13.286404991859168
Affoltern,2026,13.153540941940577
Affoltern,2027,13.02200553252117
Affoltern,2028,12.891785477195958
Affoltern,2029,12.762867622423999
Affoltern,2030,12.63523894619976
Affoltern,2031,12.50888655673776
Affoltern,2032,12.383797691170384
Affoltern,2033,12.25995971425868
Affoltern,2034,12.137360117116092
Affoltern,2035,12.015986515944931
Affoltern,2036,11.895826650785482
Affoltern,2037,11.776868384277629
Affoltern,2038,11.65909970043485
Affoltern,2039,11.542508703430503
Affoltern,2040,11.427083616396198
Affoltern,2041,11.312812780232235
Affoltern,2042,11.199684652429912
Affoltern,2043,11.087687805905615
Affoltern,2044,10.976810927846557
Affoltern,2045,10.867042818568091
Affoltern,2046,10.75837239038241
Affoltern,2047,10.650788666478586
Affoltern,2048,10.5442807798138
Affoltern,2049,10.438837972015662
Affoltern,2050,10.334449592295504
Aigle,2019,6.815351641146513
Aigle,2020,6.747198124735048
Aigle,2021,6.679726143487698
Aigle,2022,6.61292888205282
Aigle,2023,6.546799593232292
Aigle,2024,6.481331597299969
Aigle,2025,6.416518281326969
Aigle,2026,6.352353098513699
Aigle,2027,6.288829567528563
Aigle,2028,6.2259412718532765
Aigle,2029,6.163681859134744
Aigle,2030,6.102045040543397
Aigle,2031,6.041024590137962
Aigle,2032,5.9806143442365824
Aigle,2033,5.920808200794217
Aigle,2034,5.861600118786274
Aigle,2035,5.802984117598412
Aigle,2036,5.744954276422428
