Region,Year,NO2
Aarau,2019,16.435987021898505
Aarau,2020,16.60034689211749
Aarau,2021,16.766350361038665
Aarau,2022,16.93401386464905
Aarau,2023,17.103354003295543
Aarau,2024,17.274387543328498
Aarau,2025,17.44713141876178
Aarau,2026,17.621602732949402
Aarau,2027,17.797818760278894
Aarau,2028,17.975796947881683
Aarau,2029,18.155554917360497
Aarau,2030,18.337110466534106
Aarau,2031,18.520481571199447
Aarau,2032,18.705686386911445
Aarau,2033,18.892743250780555
Aarau,2034,19.081670683288365
Aarau,2035,19.272487390121245
Aarau,2036,19.46521226402246
Aarau,2037,19.659864386662683
Aarau,2038,19.85646303052931
Aarau,2039,20.055027660834604
Aarau,2040,20.255577937442947
Aarau,2041,20.45813371681738
Aarau,2042,20.662715053985554
Aarau,2043,20.86934220452541
Aarau,2044,21.078035626570664
Aarau,2045,21.288815982836372
Aarau,2046,21.50170414266473
Aarau,2047,21.716721184091384
Aarau,2048,21.933888395932296
Aarau,2049,22.15322727989162
Aarau,2050,22.374759552690534
Affoltern,2019,14.397347859687686
Affoltern,2020,14.541321338284563
Affoltern,2021,14.68673455166741
Affoltern,2022,14.833601897184083
Affoltern,2023,14.981937916155925
Affoltern,2024,15.131757295317485
Affoltern,2025,15.283074868270658
Affoltern,2026,15.435905616953365
Affoltern,2027,15.590264673122897
Affoltern,2028,15.746167319854127
Affoltern,2029,15.903628993052667
Affoltern,2030,16.062665282983197
Affoltern,2031,16.223291935813027
Affoltern,2032,16.38552485517116
Affoltern,2033,16.54938010372287
Affoltern,2034,16.7148739047601
Affoltern,2035,16.882022643807698
Affoltern,2036,17.050842870245777
Affoltern,2037,17.221351298948235
Affoltern,2038,17.39356481193772
Affoltern,2039,17.567500460057097
Affoltern,2040,17.743175464657664
Affoltern,2041,17.92060721930424
Affoltern,2042,18.099813291497288
Affoltern,2043,18.280811424412256
Affoltern,2044,18.46361953865638
Affoltern,2045,18.648255734042948
Affoltern,2046,18.834738291383374
Affoltern,2047,19.02308567429721
Affoltern,2048,19.21331653104018
Affoltern,2049,19.405449696350583
Affoltern,2050,19.59950419331409
Aigle,2019,6.953035512684826
Aigle,2020,7.022565867811675
Aigle,2021,7.092791526489792
Aigle,2022,7.163719441754689
Aigle,2023,7.235356636172237
Aigle,2024,7.3077102025339595
Aigle,2025,7.380787304559298
Aigle,2026,7.454595177604892
Aigle,2027,7.52914112938094
Aigle,2028,7.6044325406747495
Aigle,2029,7.680476866081497
Aigle,2030,7.757281634742312
Aigle,2031,7.834854451089735
Aigle,2032,7.913202995600634
Aigle,2033,7.992335025556639
Aigle,2034,8.072258375812208
Aigle,2035,8.152980959570328
Aigle,2036,8.23451076916603
Aigle,2037,8.31685587685769
Aigle,2038,8.40002443562627
Aigle,2039,8.484024679982532
Aigle,2040,8.568864926782357
Aigle,2041,8.65455357605018
Aigle,2042,8.741099111810684
Aigle,2043,8.828510102928789
Aigle,2044,8.916795203958078
Aigle,2045,9.005963155997659
Aigle,2046,9.096022787557635
Aigle,2047,9.186983015433212
Aigle,2048,9.278852845587544
Aigle,2049,9.371641374043419
Aigle,2050,9.465357787783853
Albula,2019,1.8639794189016499
Albula,2020,1.8826192130906663
Albula,2021,1.9014454052215732
Albula,2022,1.9204598592737887
Albula,2023,1.9396644578665267
Albula,2024,1.959061102445192
Albula,2025,1.9786517134696437
Albula,2026,1.9984382306043404
Albula,2027,2.0184226129103835
Albula,2028,2.0386068390394874
Albula,2029,2.0589929074298823
Albula,2030,2.0795828365041813
Albula,2031,2.1003786648692233
Albula,2032,2.1213824515179156
Albula,2033,2.1425962760330948
Albula,2034,2.1640222387934256
Albula,2035,2.1856624611813595
Albula,2036,2.2075190857931735
Albula,2037,2.229594276651105
Albula,2038,2.2518902194176165
Albula,2039,2.2744091216117925
Albula,2040,2.29715321282791
Albula,2041,2.3201247449561895
Albula,2042,2.3433259924057515
Albula,2043,2.3667592523298087
Albula,2044,2.390426844853107
Albula,2045,2.4143311133016385
Albula,2046,2.4384744244346543
Albula,2047,2.4628591686790013
Albula,2048,2.4874877603657914
Albula,2049,2.5123626379694493
Albula,2050,2.5374862643491434
Andelfingen,2019,14.045663867285064
Andelfingen,2020,14.186120505957915
Andelfingen,2021,14.327981711017497
Andelfingen,2022,14.47126152812767
Andelfingen,2023,14.615974143408948
Andelfingen,2024,14.762133884843037
Andelfingen,2025,14.909755223691466
Andelfingen,2026,15.058852775928383
Andelfingen,2027,15.209441303687663
Andelfingen,2028,15.361535716724541
Andelfingen,2029,15.515151073891786
Andelfingen,2030,15.670302584630704
Andelfingen,2031,15.827005610477013
Andelfingen,2032,15.985275666581785
Andelfingen,2033,16.145128423247602
Andelfingen,2034,16.30657970748008
Andelfingen,2035,16.469645504554876
Andelfingen,2036,16.634341959600427
Andelfingen,2037,16.80068537919643
Andelfingen,2038,16.968692232988396
Andelfingen,2039,17.13837915531828
Andelfingen,2040,17.309762946871462
Andelfingen,2041,17.482860576340176
Andelfingen,2042,17.65768918210358
Andelfingen,2043,17.834266073924613
Andelfingen,2044,18.012608734663864
Andelfingen,2045,18.1927348220105
Andelfingen,2046,18.374662170230604
Andelfingen,2047,18.558408791932912
Andelfingen,2048,18.743992879852243
Andelfingen,2049,18.931432808650765
Andelfingen,2050,19.120747136737272
Arbon,2019,15.071096586842636
Arbon,2020,15.221807552711061
Arbon,2021,15.374025628238174
Arbon,2022,15.527765884520555
Arbon,2023,15.683043543365763
Arbon,2024,15.83987397879942
Arbon,2025,15.998272718587412
Arbon,2026,16.15825544577329
Arbon,2027,16.31983800023102
Arbon,2028,16.48303638023333
Arbon,2029,16.64786674403566
Arbon,2030,16.81434541147602
Arbon,2031,16.98248886559078
Arbon,2032,17.15231375424669
Arbon,2033,17.323836891789156
Arbon,2034,17.49707526070705
Arbon,2035,17.672046013314116
Arbon,2036,17.84876647344726
Arbon,2037,18.027254138181732
Arbon,2038,18.20752667956355
Arbon,2039,18.389601946359186
