Year,P,r0,K,B0
2019,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2020,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2021,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2022,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2023,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2024,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2025,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2026,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2027,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2028,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2029,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2030,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2031,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2032,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2033,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2034,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2035,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2036,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2037,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2038,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2039,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2040,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2041,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2042,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2043,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2044,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2045,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2046,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2047,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2048,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2049,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2050,-12.598172174076304,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
