Year,P,K_estimated,B0_estimated,r_estimated
2019,-12.472190452335541,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2020,-12.347468547812186,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2021,-12.223993862334064,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2022,-12.101753923710723,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2023,-11.980736384473616,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2024,-11.86092902062888,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2025,-11.742319730422592,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2026,-11.624896533118365,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2027,-11.50864756778718,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2028,-11.393561092109309,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2029,-11.279625481188216,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2030,-11.166829226376333,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2031,-11.05516093411257,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2032,-10.944609324771443,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2033,-10.83516323152373,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2034,-10.726811599208492,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2035,-10.619543483216408,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2036,-10.513348048384243,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2037,-10.4082145679004,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2038,-10.304132422221395,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2039,-10.20109109799918,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2040,-10.099080187019188,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2041,-9.998089385148996,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2042,-9.898108491297506,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2043,-9.799127406384532,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2044,-9.701136132320686,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2045,-9.60412477099748,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2046,-9.508083523287505,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2047,-9.41300268805463,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2048,-9.318872661174085,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2049,-9.225683934562344,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2050,-9.133427095216721,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
