Year,P,K_estimated,B0_estimated,r_estimated
2019,-12.724153895817066,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2020,-12.851395434775236,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2021,-12.979909389122989,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2022,-13.109708483014218,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2023,-13.24080556784436,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2024,-13.373213623522803,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2025,-13.50694575975803,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2026,-13.642015217355612,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2027,-13.778435369529168,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2028,-13.91621972322446,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2029,-14.055381920456705,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2030,-14.195935739661273,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2031,-14.337895097057887,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2032,-14.481274048028466,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2033,-14.62608678850875,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2034,-14.772347656393839,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2035,-14.920071132957776,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2036,-15.069271844287353,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2037,-15.219964562730228,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2038,-15.37216420835753,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2039,-15.525885850441105,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2040,-15.681144708945515,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2041,-15.83795615603497,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2042,-15.99633571759532,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2043,-16.156299074771272,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2044,-16.317862065518984,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2045,-16.481040686174175,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2046,-16.64585109303592,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2047,-16.812309603966277,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2048,-16.98043270000594,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2049,-17.150237027006,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2050,-17.32173939727606,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
